CIK,COMPANY_NAME,FILING_DATE,ACCESSION_NUMBER,SIC_CODE,SIC_DESCRIPTION,SECTOR,SHARES_OFFERED,FINAL_PRICE,GROSS_PROCEEDS,EXTRACTION_METHOD,TRAILING_REVENUE,SHARES_OUTSTANDING,IMPLIED_MARKET_CAP,PRICE_TO_SALES_RATIO,FILING_QUARTER,FILING_YEAR,SECTOR_AVG_PS,SECTOR_MEDIAN_PS,VALUATION_FLAG
1795091,OS Therapies Inc,2024-08-01,0001213900-24-064156,2834,Pharmaceutical Preparations,Pharmaceuticals,1600000,4.00000000,6400000.00000000,regex,,,6400000.00000000,,2024-07-01,2024-01-01,81.152935495,22.384372075,No revenue data
2014596,"Concentra Group Holdings Parent, Inc.",2024-07-26,0001104659-24-082804,8093,"Services-Specialty Outpatient Facilities, NEC",Other,22500000,23.50000000,528750000.00000000,regex,2163417000,127961780,3007101830.00000000,1.389977905,2024-07-01,2024-01-01,59.649200047,1.389977905,In line with sector
1852551,Nova Minerals Ltd,2024-07-24,0001493152-24-028939,1040,Gold and Silver Ores,Other,475000,6.92000000,3287000.00000000,regex,,,3287000.00000000,,2024-07-01,2024-01-01,59.649200047,1.389977905,No revenue data
1817241,"Artiva Biotherapeutics, Inc.",2024-07-22,0001193125-24-181773,2836,"Biological Products, (No Diagnostic Substances)",Pharmaceuticals,13920000,12.00000000,167040000.00000000,regex,,,167040000.00000000,,2024-07-01,2024-01-01,81.152935495,22.384372075,No revenue data
1756655,"Ardent Health Partners, Inc.",2024-07-18,0001193125-24-181092,8062,"Services-General Medical & Surgical Hospitals, NEC",Other,12000000,16.00000000,192000000.00000000,regex,6324339000,143133825,2290141200.00000000,0.3621155033,2024-07-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
1847367,ALUMIS INC.,2024-06-28,0001104659-24-076337,2834,Pharmaceutical Preparations,Pharmaceuticals,13125000,16.00000000,210000000.00000000,regex,24050000,,210000000.00000000,8.731808732,2024-04-01,2024-01-01,81.152935495,22.384372075,Cheaply valued
1997859,WEBTOON Entertainment Inc.,2024-06-27,0001193125-24-169730,2741,Miscellaneous Publishing,Other,15000000,21.00000000,315000000.00000000,regex,1382705000,130776161,2746299381.00000000,1.986178817,2024-04-01,2024-01-01,59.649200047,1.389977905,In line with sector
1995116,Rectitude Holdings Ltd.,2024-06-21,0001213900-24-054623,3420,"Cutlery, Handtools & General Hardware",Other,2000000,4.00000000,8000000.00000000,regex,,,8000000.00000000,,2024-04-01,2024-01-01,59.649200047,1.389977905,No revenue data
1717115,"Tempus AI, Inc.",2024-06-17,0001193125-24-161989,7370,"Services-Computer Programming, Data Processing, Etc.",Software & IT Services,11100000,37.00000000,410700000.00000000,regex,1271789000,,410700000.00000000,0.3229309264,2024-04-01,2024-01-01,3.796173442,3.182158682,Cheaply valued
2012593,"Rapport Therapeutics, Inc.",2024-06-07,0001193125-24-157358,2834,Pharmaceutical Preparations,Pharmaceuticals,8000000,17.00000000,136000000.00000000,regex,,,136000000.00000000,,2024-04-01,2024-01-01,81.152935495,22.384372075,No revenue data
